comparison,dataset,metric,reference_mean,candidate_mean,samples,mean_delta,std_delta,median_delta,p05_delta,p95_delta,ci95_low,ci95_high,gains,ties,losses,losses_below_minus_005,losses_below_minus_010
frangi_epoch20_prompt_vs_none,facade390,iou,0.5072344879597794,0.4989024325370098,390,-0.008332055422769775,0.045001114788737105,-0.008661530135790907,-0.05374681239607821,0.03462863374955357,-0.012373073601428265,-0.0032875810027278383,128,2,260,21,4
frangi_epoch20_prompt_vs_none,facade390,dice,0.6614047896473292,0.65386524540482,390,-0.007539544242509142,0.049733884881025536,-0.008210017647654,-0.046920420822556055,0.030239684349517123,-0.011891651374695214,-0.0020320247419035684,128,2,260,17,3
frangi_epoch20_prompt_vs_none,concrete3k,iou,0.6774763875645664,0.6827934235297374,3000,0.005317035965170934,0.07119917277955432,0.0018799716277910772,-0.02592677453739878,0.02899608589865647,0.002791885703848271,0.007842290623244753,1786,108,1106,63,28
frangi_epoch20_prompt_vs_none,concrete3k,dice,0.7835097326954794,0.7889220770382835,3000,0.005412344342804204,0.07618298560725618,0.0012664248104878317,-0.021444016189605522,0.0217789867935702,0.002789568946848824,0.008151219377098328,1786,108,1106,51,21
frangi_training_effect_without_prompt,khanhha_original,iou,0.6238044947390237,0.6226190085159142,1695,-0.001185486223109379,0.04459062934633045,0.0,-0.03551279592814197,0.03066017501317169,-0.0031600259140592856,0.0011082278082255575,633,231,831,52,15
frangi_training_effect_without_prompt,khanhha_original,dice,0.7453199181521043,0.74384914917531,1695,-0.0014707689767945093,0.04538771221317154,0.0,-0.03196091160149726,0.024869198462019942,-0.0034553655260912974,0.0008587826081231672,633,231,831,46,18
frangi_training_effect_without_prompt,khanhha_noisy1,iou,0.5678115519313996,0.5663659937139918,1695,-0.0014455582174078662,0.08254153330824393,0.0,-0.07171158973614482,0.08388382698850759,-0.005350044045823349,0.0025056589972298746,642,248,805,140,61
frangi_training_effect_without_prompt,khanhha_noisy1,dice,0.6907005064260806,0.6864491111257272,1695,-0.004251395300353432,0.09903669682302403,0.0,-0.08121287579830185,0.0757630837811577,-0.00900470670538569,0.00035545710664025744,642,248,805,132,63
frangi_training_effect_without_prompt,khanhha_noisy2,iou,0.5133437612837761,0.4830532646288599,1695,-0.030290496654916264,0.12992319069086944,0.0,-0.3232302660394232,0.06208219660751307,-0.0364804400381486,-0.02411640336905752,549,365,781,297,218
frangi_training_effect_without_prompt,khanhha_noisy2,dice,0.6243293747541984,0.5805089009425181,1695,-0.04382047381168024,0.1714536487486375,0.0,-0.4745629911745937,0.055748061405109246,-0.05209867146126589,-0.03586164416438325,549,365,781,291,223
frangi_training_effect_without_prompt,road420,iou,0.4836394002561577,0.467531536428341,420,-0.016107863827816715,0.17620076806640397,-0.007346380088412319,-0.337318209744134,0.2858704056340602,-0.03337407542461555,0.0005612466019178127,189,1,230,146,106
frangi_training_effect_without_prompt,road420,dice,0.6251577572863767,0.606295158953397,420,-0.01886259833297967,0.18950021036747314,-0.005756412161710606,-0.36569129786948523,0.3053909051399965,-0.03690692512878259,-0.0007481770047144977,189,1,230,135,102
frangi_training_effect_without_prompt,facade390,iou,0.5163686768272836,0.5072344879597794,390,-0.009134188867504117,0.13727106444873152,-0.011592212649697453,-0.20432680757456276,0.22405752283081806,-0.022748374336229994,0.004549841073384082,172,2,216,134,87
frangi_training_effect_without_prompt,facade390,dice,0.6655554364566215,0.6614047896473292,390,-0.004150646809292384,0.13242269338704657,-0.008650419553325295,-0.1787090556343564,0.2083973297714955,-0.01715549356457796,0.00889076394935811,172,2,216,126,73
frangi_training_effect_without_prompt,concrete3k,iou,0.6998229373775023,0.6774763875645664,3000,-0.022346549812935896,0.10162276733482561,-0.020801319451720257,-0.1251501304465394,0.0942559065285785,-0.025919020695529153,-0.018610251344985205,669,99,2232,713,228
frangi_training_effect_without_prompt,concrete3k,dice,0.7989288114855093,0.7835097326954794,3000,-0.015419078790029846,0.1010060976069095,-0.013814570516023472,-0.09282511974387658,0.07553976721882345,-0.019094826628561073,-0.011827139644307474,669,99,2232,414,130
